Азу	11.9	14.2	10.2	214
Фрикадельки Meatballs Самсон из куриного фарша 5%	Фрикадельки Meatballs Самсон из куриного фарша 5%	21.0	5.0	0.0	129
Фуа-гра	Фуа-гра	11.4	43.8	4.7	462
Хамон	Хамон	34.8	16.1	1.3	241
Хотстеры Горячая штучка замороженные	Хотстеры Горячая штучка замороженные	7.0	22.0	17.0	294
Цесарка	Цесарка	20.6	2.5	0.0	110
Цыпленок-бройлер Мякоть бедра Петруха	Цыпленок-бройлер Мякоть бедра Петруха	16.5	14.4	0.0	196
Цыпленок-бройлер охлажденный	Цыпленок-бройлер охлажденный	18.7	16.1	0.5	219
Цыпленок-бройлер Печень Благояр	Цыпленок-бройлер Печень Благояр	18.0	10.0	0.0	160
Цыпленок-бройлер Филе бедра Первая Свежесть охлажденное	Цыпленок-бройлер Филе бедра Первая Свежесть охлажденное	13.8	8.7	0.4	136
Чебупели Горячая штучка С ветчиной и сыром	Чебупели Горячая штучка С ветчиной и сыром	6.0	13.0	36.0	285
Чебупели Горячая штучка Сочные с мясом	Чебупели Горячая штучка Сочные с мясом	7.0	16.0	35.0	312
Чебупицца Горячая штучка Курочка по-итальянски	Чебупицца Горячая штучка Курочка по-итальянски	12.5	15.0	29.0	301
Чебупицца Горячая штучка Пепперони	Чебупицца Горячая штучка Пепперони	10.5	13.0	23.0	251
Черепаха	Черепаха	19.8	0.5	0.0	89
Эскалоп	Эскалоп	19.0	42.8	6.8	487
Ягнёнок (каре)	Ягнёнок (каре)	16.2	14.1	0.0	192
Ягнёнок (нога)	Ягнёнок (нога)	20.6	5.1	0.0	134
Ягнятина	Ягнятина	16.2	14.1	0.0	192
